n,selected_tau,rows,ok_rate,valid_solution_rate,optimal_rate,median_gap,p95_gap,max_gap,median_runtime_s
5,9.0,15,1.0,1.0,1.0,0.0,3.973369523812758e-17,1.3244565079375907e-16,0.007775699999911
6,30.0,15,1.0,1.0,1.0,0.0,8.173776144260984e-17,2.7245920480870043e-16,0.0135583000001133
7,28.0,15,1.0,1.0,1.0,0.0,1.9486454307879348e-16,2.0071047633428915e-16,0.0217400000001362
8,16.0,15,1.0,1.0,1.0,0.0,1.582287913478036e-16,2.681604363526877e-16,0.0335709000000861
9,28.0,15,1.0,1.0,0.9333333333333333,0.0,0.0002824827132177979,0.0009416090440588,0.1061481000001549
10,26.0,15,1.0,1.0,0.9333333333333333,0.0,0.0020149816786397706,0.0067166055954655,0.1486187999998947
12,20.0,15,1.0,1.0,1.0,0.0,1.5129135786209227e-16,1.5959782706825834e-16,0.2901006000001871
