split,instance_type,n,selected_tau,criterion,calibration_seeds,tau_values_tested,optimality_rate,median_gap,mean_gap,number_of_instances,first_stage_selected_tau,refinement_step,refinement_neighbors,tau_source
calibration,all,5,4.4,two_stage_unified_by_n_max_optimality_then_median_gap_then_lowest_stable_tau,"[0, 1, 2, 3, 4]","[3.0, 3.2, 3.4, 3.6, 3.8, 4.0, 4.2, 4.4, 4.6, 4.8, 5.0, 5.2, 5.4, 5.6, 5.8, 6.0, 6.2, 6.4, 6.6, 6.8, 7.0]",1.0,0.0,8.829710052917272e-18,15,5.0,0.2,10,calibrated_on_calibration_split
calibration,all,6,17.2,two_stage_unified_by_n_max_optimality_then_median_gap_then_lowest_stable_tau,"[0, 1, 2, 3, 4]","[16.0, 16.2, 16.4, 16.6, 16.8, 17.0, 17.2, 17.4, 17.6, 17.8, 18.0, 18.2, 18.4, 18.6, 18.8, 19.0, 19.2, 19.4, 19.6, 19.8, 20.0]",0.9333333333333333,0.0,0.0001896193156071128,15,18.0,0.2,10,calibrated_on_calibration_split
calibration,all,7,8.4,two_stage_unified_by_n_max_optimality_then_median_gap_then_lowest_stable_tau,"[0, 1, 2, 3, 4]","[7.0, 7.2, 7.4, 7.6, 7.8, 8.0, 8.2, 8.4, 8.6, 8.8, 9.0, 9.2, 9.4, 9.6, 9.8, 10.0, 10.2, 10.4, 10.6, 10.8, 11.0]",0.9333333333333333,0.0,0.00016321220403493633,15,9.0,0.2,10,calibrated_on_calibration_split
calibration,all,8,14.6,two_stage_unified_by_n_max_optimality_then_median_gap_then_lowest_stable_tau,"[0, 1, 2, 3, 4]","[13.0, 13.2, 13.4, 13.6, 13.8, 14.0, 14.2, 14.4, 14.6, 14.8, 15.0, 15.2, 15.4, 15.6, 15.8, 16.0, 16.2, 16.4, 16.6, 16.8, 17.0]",1.0,0.0,2.5285044370369416e-17,15,15.0,0.2,10,calibrated_on_calibration_split
calibration,all,9,8.4,two_stage_unified_by_n_max_optimality_then_median_gap_then_lowest_stable_tau,"[0, 1, 2, 3, 4]","[7.0, 7.2, 7.4, 7.6, 7.8, 8.0, 8.2, 8.4, 8.6, 8.8, 9.0, 9.2, 9.4, 9.6, 9.8, 10.0, 10.2, 10.4, 10.6, 10.8, 11.0]",0.8666666666666667,0.0,0.000655294613939075,15,9.0,0.2,10,calibrated_on_calibration_split
calibration,all,10,9.0,two_stage_unified_by_n_max_optimality_then_median_gap_then_lowest_stable_tau,"[0, 1, 2, 3, 4]","[7.0, 7.2, 7.4, 7.6, 7.8, 8.0, 8.2, 8.4, 8.6, 8.8, 9.0, 9.2, 9.4, 9.6, 9.8, 10.0, 10.2, 10.4, 10.6, 10.8, 11.0]",0.8666666666666667,0.0,0.0010393118941834912,15,9.0,0.2,10,calibrated_on_calibration_split
calibration,all,12,19.2,two_stage_unified_by_n_max_optimality_then_median_gap_then_lowest_stable_tau,"[0, 1, 2, 3, 4]","[18.0, 18.2, 18.4, 18.6, 18.8, 19.0, 19.2, 19.4, 19.6, 19.8, 20.0, 20.2, 20.4, 20.6, 20.8, 21.0, 21.2, 21.4, 21.6, 21.8, 22.0]",1.0,0.0,2.937039162318413e-17,15,20.0,0.2,10,calibrated_on_calibration_split
