split,instance_type,n,layer_ratio,number_of_instances,repeats,valid_rate,finite_edge_rate,optimality_rate,mean_gap,median_gap,p95_gap,best_gap,mean_runtime_s,median_runtime_s,first_valid_repeat_median
evaluation,euclidean,8,0.0,5,5,1.0,1.0,0.2,0.1333324450061113,0.16050477045652115,0.19129828757237272,0.0,0.013197731999971438,0.013059799999609822,0.0
evaluation,euclidean,8,0.1,5,5,1.0,1.0,0.0,0.355254157822279,0.37976883007781254,0.5347207667051869,0.06849647920207437,0.018131691999878966,0.017656299998634495,0.0
evaluation,euclidean,8,0.25,5,5,1.0,1.0,0.04,0.19442898181958565,0.1256513200819203,0.46856241704464957,0.0,0.022112035999889486,0.021608899998682318,0.0
evaluation,euclidean,8,0.5,5,5,1.0,1.0,0.56,0.1232454877250986,0.0,0.46856241704464957,0.0,0.026119284000305925,0.025580000001355074,0.0
evaluation,euclidean,8,0.75,5,5,1.0,1.0,0.64,0.074235879016631,0.0,0.40771146762623595,0.0,0.03298429200018291,0.029883500003052177,0.0
evaluation,euclidean,8,1.0,5,5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.037158172000345074,0.03481580000152462,0.0
evaluation,euclidean,10,0.0,5,5,1.0,1.0,0.2,0.21517420621633818,0.2697874769275356,0.30447785968429214,0.0,0.05745698800034006,0.05855879999944591,0.0
evaluation,euclidean,10,0.1,5,5,1.0,1.0,0.04,0.41008693513869987,0.4381605588777457,0.6552642349041929,0.0,0.09033062799935579,0.09615049999774783,0.0
evaluation,euclidean,10,0.25,5,5,1.0,1.0,0.12,0.2103188732045058,0.1904013452562324,0.5273658406601212,0.0,0.11946794399991631,0.11257479999767384,0.0
evaluation,euclidean,10,0.5,5,5,1.0,1.0,0.24,0.12981522656810585,0.10457319693681869,0.35342725832063576,0.0,0.15795966000048792,0.15608939999947324,0.0
evaluation,euclidean,10,0.75,5,5,1.0,1.0,0.6,0.02900774295936362,0.0,0.16637371207130774,0.0,0.20270894400033285,0.18692400000145426,0.0
evaluation,euclidean,10,1.0,5,5,1.0,1.0,1.0,2.901891610722405e-17,0.0,1.4509458053612025e-16,0.0,0.17635731999951532,0.17383340000014869,0.0
evaluation,euclidean,12,0.0,5,5,1.0,1.0,0.0,0.34019559299850977,0.3132527297004289,0.443215059746921,0.2872080849343741,0.06256464000034612,0.03524680000191438,0.0
evaluation,euclidean,12,0.1,5,5,1.0,1.0,0.0,0.41700164468544715,0.4029572369081197,0.6433661406797659,0.03654949614463186,0.08748398800031282,0.044212500000867294,0.0
evaluation,euclidean,12,0.25,5,5,1.0,1.0,0.0,0.3151824485114414,0.27680789483520296,0.5725681643553614,0.10799793898511952,0.08249650000027031,0.056181500000093365,0.0
evaluation,euclidean,12,0.5,5,5,1.0,1.0,0.24,0.0803773310423389,0.03886085509486845,0.2659016276637628,0.0,0.13179812400005175,0.08951059999890276,0.0
evaluation,euclidean,12,0.75,5,5,1.0,1.0,0.68,0.02069297197748451,0.0,0.04810661109777406,0.0,0.261912416000705,0.26158700000087265,0.0
evaluation,euclidean,12,1.0,5,5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.29072523600014394,0.2858213999970758,0.0
evaluation,random_asymmetric,8,0.0,5,5,1.0,1.0,0.0,0.7236207597612038,0.6715659258794415,1.3112849593320277,0.38211278465776377,0.014303660000878153,0.013815400001476519,0.0
evaluation,random_asymmetric,8,0.1,5,5,1.0,1.0,0.04,0.6415686877854886,0.6432252701055484,1.3111892016418512,0.0,0.020668475999846125,0.01894919999904232,0.0
evaluation,random_asymmetric,8,0.25,5,5,1.0,1.0,0.08,0.46030834758854794,0.41136026167038264,0.8670527730582913,0.0,0.02300400799984345,0.02335809999931371,0.0
evaluation,random_asymmetric,8,0.5,5,5,1.0,1.0,0.32,0.25315587393711153,0.25326553348083225,0.589694972720312,0.0,0.027136783999594627,0.027193799996894086,0.0
evaluation,random_asymmetric,8,0.75,5,5,1.0,1.0,0.72,0.08070723415288143,0.0,0.37069885292477617,0.0,0.031106720000097995,0.030216099999961443,0.0
evaluation,random_asymmetric,8,1.0,5,5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.03492919600015739,0.03428879999773926,0.0
evaluation,random_asymmetric,10,0.0,5,5,1.0,1.0,0.0,0.7323210767002619,0.5186675509549149,1.268337448740473,0.3622936176161623,0.06335753600025783,0.060918700000911485,0.0
evaluation,random_asymmetric,10,0.1,5,5,1.0,1.0,0.0,0.43700546253008066,0.36165001465461805,0.9091804685850955,0.049875715974107775,0.08894241600020905,0.08592280000084429,0.0
evaluation,random_asymmetric,10,0.25,5,5,1.0,1.0,0.0,0.3969994704993045,0.4484425575260973,0.6536607435230638,0.049875715974107775,0.10444658000022172,0.10796209999898565,0.0
evaluation,random_asymmetric,10,0.5,5,5,1.0,1.0,0.04,0.16160566752474334,0.10650107611096038,0.4883032320419882,0.0,0.15967711999997847,0.15647030000036466,0.0
evaluation,random_asymmetric,10,0.75,5,5,1.0,1.0,0.44,0.05459024024746023,0.012877891920401261,0.2572986931706749,0.0,0.16017508799995994,0.169546299999638,0.0
evaluation,random_asymmetric,10,1.0,5,5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.171480520000041,0.16585420000046724,0.0
evaluation,random_asymmetric,12,0.0,5,5,1.0,1.0,0.0,0.7802157516396687,0.39020121327681245,1.4699341020834575,0.3658722748486521,0.04409198400026071,0.034987200000614394,0.0
evaluation,random_asymmetric,12,0.1,5,5,1.0,1.0,0.0,0.5472496066245099,0.5137253701441205,1.0556982885914081,0.04228380533676408,0.04453892399964388,0.04466350000075181,0.0
evaluation,random_asymmetric,12,0.25,5,5,1.0,1.0,0.0,0.4648380880449662,0.43882461231108727,0.876030214843266,0.04228380533676408,0.0559131920002983,0.055755500001396285,0.0
evaluation,random_asymmetric,12,0.5,5,5,1.0,1.0,0.12,0.17236468811440525,0.16846180819321743,0.3852583058158844,0.0,0.09168828399968333,0.08737760000076378,0.0
evaluation,random_asymmetric,12,0.75,5,5,1.0,1.0,0.32,0.052764355939137884,0.019082588640873827,0.21907245520591634,0.0,0.2552287679995061,0.25473779999811086,0.0
evaluation,random_asymmetric,12,1.0,5,5,1.0,1.0,0.8,0.0038165177281747655,0.0,0.019082588640873827,0.0,0.28621694400004344,0.2818197999986296,0.0
evaluation,random_symmetric,8,0.0,5,5,1.0,1.0,0.0,0.21680705268517836,0.20807293939382882,0.32460071924626566,0.09910151786516745,0.014493452000169781,0.014025399999809451,0.0
evaluation,random_symmetric,8,0.1,5,5,1.0,1.0,0.0,0.22157381381122745,0.20407391580842374,0.35124256978373314,0.10491657791302547,0.01980907199991634,0.018265499998960877,0.0
evaluation,random_symmetric,8,0.25,5,5,1.0,1.0,0.04,0.15156461417799658,0.13280841591411865,0.31809936463697164,0.0,0.02391905599972233,0.02262259999770322,0.0
evaluation,random_symmetric,8,0.5,5,5,1.0,1.0,0.32,0.04491845863363902,0.028642346853161915,0.22048969301329926,0.0,0.027176760000147623,0.02635510000254726,0.0
evaluation,random_symmetric,8,0.75,5,5,1.0,1.0,0.32,0.014597037386222221,0.015015767571084743,0.05017486605154257,0.0,0.03079486399976304,0.030521299999236362,0.0
evaluation,random_symmetric,8,1.0,5,5,1.0,1.0,0.8,0.0007034397963918599,0.0,0.0035171989819591867,0.0,0.03728681599968695,0.034457300000212854,0.0
evaluation,random_symmetric,10,0.0,5,5,1.0,1.0,0.2,0.2203459082443302,0.23248030817653134,0.42704465261695873,1.7974853563438387e-16,0.05350007600005483,0.058457999999518506,0.0
evaluation,random_symmetric,10,0.1,5,5,1.0,1.0,0.04,0.25666328544367006,0.24168938889765182,0.4132192749903249,2.1161435922509237e-16,0.0768561640002008,0.07188419999874895,0.0
evaluation,random_symmetric,10,0.25,5,5,1.0,1.0,0.08,0.16801864449454423,0.16915408532923823,0.2968791021306857,0.0,0.08427607199992053,0.08669620000000577,0.0
evaluation,random_symmetric,10,0.5,5,5,1.0,1.0,0.24,0.05769764974180833,0.04028033545246516,0.16491752026174739,0.0,0.12096459999986109,0.11600289999842062,0.0
evaluation,random_symmetric,10,0.75,5,5,1.0,1.0,0.56,0.01570651386972593,1.7974853563438387e-16,0.05386799791738492,0.0,0.20533160400023917,0.194945800001733,0.0
evaluation,random_symmetric,10,1.0,5,5,1.0,1.0,1.0,7.205132017867376e-17,0.0,1.8050806525898486e-16,0.0,0.18511421599963795,0.1788684999992256,0.0
evaluation,random_symmetric,12,0.0,5,5,1.0,1.0,0.0,0.2887695505786592,0.26370161867454295,0.41693189295106525,0.13947675451355906,0.044249452000221935,0.03439680000155931,0.0
evaluation,random_symmetric,12,0.1,5,5,1.0,1.0,0.0,0.2812120202064675,0.31061992761372026,0.4228046140651489,0.07478070005948671,0.04428532000005361,0.04433189999690512,0.0
